Chrysoteuchia culmella
Choristoneura fumiferana
Hypoprepia fucosa
Cnephasia stephensiana
Pandemis limitata
Campaea perlata
Microcrambus elegans
Hyphantria cunea
Palpita magniferalis
Choristoneura rosaceana
Hydrelia inornata
Dryocampa rubicunda
Drepana arcuata
Spilosoma lubricipeda
Idaea aversata
Pandemis lamprosana
Eilema lurideola
Calliteara pudibunda
Parapoynx stratiotata
Deltote pygarga
Eilema complana
Lophocampa caryae
Argyrotaenia velutinana
Argyrotaenia mariana
Pelosia muscerda
Pasiphila rectangulata
Lymantria monacha
Agriphila selasella
Plutella xylostella
Colocasia coryli
Automeris io
Lomaspilis marginata
Condylolomia participalis
Scoparia biplagialis
Catoptria verellus
Noctua janthina
